osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
243231,Civil Engineer,233211,p,Civil Engineer
243231,Civil Engineer,233215,p,Transport Engineer
243232,Geotechnical Engineer,233212,,Geotechnical Engineer
243233,Rail Engineer,233215,p,Transport Engineer
243234,Structural Engineer,233214,,Structural Engineer
243235,Transport Engineer,233215,p,Transport Engineer
243236,Water Engineer,233211,p,Civil Engineer
243331,Electrical Engineer,233311,p,Electrical Engineer
243332,Rail Signalling Engineer,233311,p,Electrical Engineer
243431,Electronics Engineer,233411,,Electronics Engineer
243531,Industrial Engineer,233511,,Industrial Engineer
243532,Mechanical Engineer,233512,,Mechanical Engineer
243533,Production or Plant Engineer,233513,,Production or Plant Engineer
243631,Mining Engineer (excluding Petroleum),233611,,Mining Engineer (excluding Petroleum)
243632,Petroleum Engineer,233612,,Petroleum Engineer
243931,Acoustic Engineer,233999,p,Engineering Professionals nec
243932,Aerospace Engineer,233911,,Aeronautical Engineer
243933,Biomedical Engineer,233913,,Biomedical Engineer
243934,Engineering Technologist,233914,,Engineering Technologist
243935,Environmental Engineer,233915,,Environmental Engineer
243936,Fire Safety Engineer,233999,p,Engineering Professionals nec
243937,Mechatronics Engineer,233999,p,Engineering Professionals nec
243938,Naval Architect,233916,,Naval Architect / Marine Designer
243999,Engineering Professionals nec,233912,,Agricultural Engineer
243999,Engineering Professionals nec,233999,p,Engineering Professionals nec
244131,Agricultural Consultant,234111,,Agricultural Consultant
244132,Agricultural Research Scientist,234114,,Agricultural Research Scientist
244133,Agronomist,234115,,Agronomist
244134,Aquaculture or Fisheries Scientist,234116,,Aquaculture or Fisheries Scientist
244135,Forester,234113,,Forester / Forest Scientist
244231,Chemist,234211,,Chemist
244231,Chemist,251512,,Industrial Pharmacist
244232,Food Technologist,234212,,Food Technologist
244233,Winemaker,234213,,Wine Maker
244331,Aboriginal and Torres Strait Islander Land and Sea Ranger,234314,p,Park Ranger
244332,Conservation Officer,234311,,Conservation Officer
244332,Conservation Officer,234312,p,Environmental Consultant
244333,Ecologist,234313,p,Environmental Research Scientist
244334,Park Ranger,234314,p,Park Ranger
244431,Environmental Consultant,234312,p,Environmental Consultant
244432,Environmental Research Scientist,234313,p,Environmental Research Scientist
